,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,result
54,The Odyssey,223424,0.252,0.6940000000000001,0.29100000000000004,0.951,0.105,0.146,-16.362000000000002,0.0391,78.66199999999999,calm
21,Feel It Still,162092,0.799,0.0427,0.797,7.48e-05,0.0907,0.758,-5.157,0.0624,79.08800000000001,happy
16,Another One of Those Days,246041,0.603,0.449,0.546,0.0,0.0851,0.375,-9.365,0.0267,134.966,sad
67,"10,000 Hours (with Justin Bieber)",167693,0.654,0.153,0.63,0.0,0.111,0.43,-4.644,0.0259,89.991,happy
31,Million Reasons,205280,0.6659999999999999,0.494,0.423,0.0,0.106,0.154,-8.012,0.043,129.89,sad
90,"Everything Stays (From ""Adventure Time"")",111942,0.518,0.978,0.157,4.6500000000000005e-05,0.273,0.469,-13.513,0.0318,129.912,neutral
92,Life Lesson,22000,0.557,0.9670000000000001,0.179,0.0,0.115,0.718,-14.374,0.207,171.52200000000002,neutral
81,Let It Go,260533,0.546,0.818,0.311,1.65e-05,0.107,0.24600000000000002,-10.395999999999999,0.0288,147.464,sad
57,better off,193946,0.708,0.747,0.322,9.240000000000001e-05,0.13699999999999998,0.46,-12.46,0.0371,98.89200000000001,neutral
16,Superficial Love,207973,0.47700000000000004,0.9279999999999999,0.242,0.0,0.0818,0.488,-9.162,0.0529,43.50899999999999,sad
48,I Have Nothing,289160,0.541,0.5760000000000001,0.401,0.0,0.16399999999999998,0.24,-10.499,0.0365,152.94299999999998,sad
64,Hard to Do,245866,0.33899999999999997,0.789,0.359,0.0,0.109,0.195,-7.032,0.0365,77.592,sad
41,Guiltless,208033,0.741,0.9359999999999999,0.307,0.0,0.191,0.5379999999999999,-12.642999999999999,0.0789,144.987,neutral
85,Runaway,248826,0.42200000000000004,0.629,0.302,7.829999999999999e-05,0.10400000000000001,0.12300000000000001,-9.214,0.0372,114.089,sad
3,Sonata Pathétique,170344,0.71,0.9670000000000001,0.05,0.8059999999999999,0.11599999999999999,0.142,-23.245,0.0566,115.29799999999999,calm
62,Out Of Love,227693,0.48100000000000004,0.8,0.267,0.0,0.249,0.13699999999999998,-9.249,0.0339,117.64,sad
65,Weekend Vibe,166909,0.688,0.00912,0.742,1.37e-06,0.18600000000000003,0.74,-6.3629999999999995,0.0496,110.02600000000001,happy
