,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,emotion
0,2002,Speak Your Mind (Deluxe),Anne-Marie,2BgEsaKNfHUdlh97KmvFyo,2018-04-27,84,186986,0.697,0.0372,0.683,0.0,0.137,0.603,-2.881,0.117,96.133,1,4,happy
1,Can't Get You out of My Head,Step Back in Time: The Definitive Collection,Kylie Minogue,7dxiorC4Um7Ph0fAPsVn76,2019-06-28,39,230640,0.766,0.0263,0.563,0.683,0.115,0.964,-7.516,0.0339,126.007,9,4,happy
2,Young Hearts Run Free,Happy Songs,Various Artists,63W0atr5JTxjGThYpBE94V,2020-05-01,27,249293,0.646,0.162,0.693,5.79e-06,0.263,0.825,-8.08,0.0436,115.514,7,4,happy
3,Stand by Me,Don't Play That Song,Ben E. King,7jmHyHMEqm9MJWiMAneF05,1962,63,175493,0.632,0.428,0.232,4.95e-06,0.215,0.673,-12.326,0.0318,119.136,9,4,happy
4,Shape of You,÷ (Deluxe),Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,86,233712,0.825,0.581,0.652,0.0,0.0931,0.931,-3.183,0.0802,95.977,1,4,happy
5,Return of the Mack,Happy Songs,Various Artists,7ybisKSjbqxcT6H5B2Hykm,2020-05-01,26,213093,0.715,0.00631,0.834,0.0,0.164,0.604,-5.379,0.109,95.487,2,4,happy
6,Crazy,St. Elsewhere,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,2006-04-24,77,177466,0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,4,happy
7,Hold My Hand,I Cry When I Laugh,Jess Glynne,3iAD903jI8tHlM6Cn1zMax,2015,54,227343,0.642,0.00159,0.823,0.0,0.0776,0.431,-5.717,0.0289,122.977,0,4,happy
8,Dreams,TikTok Songs Viral Hits,Various Artists,57hPgbYiZvoU8AXZ8ZJlud,2021-02-10,26,257799,0.828,0.0644,0.492,0.00428,0.128,0.789,-9.745,0.0276,120.148,0,4,happy
9,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,2020-07-03,91,166028,0.734,0.168,0.874,1.14e-05,0.0489,0.905,-3.158,0.0662,122.953,8,4,happy
